Main Name	search term	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
acetaminophen	['increased reactive oxygen species production', 'lrrk2 (human)', 'movement disorder', 'drd2 (human)', 'spasticity', 'spag9 (human)', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'autism', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	6	0.9927615137	0.9359446613	0.0124677374	0.2638209078	0.0318147688	0.0334468611	{'rectal', 'topical', 'oral', 'respiratory (inhalation)', 'not applicable', 'ophthalmic', 'nasal', 'intravenous'}	1	TRUE	TRUE
acetylcysteine	['increased reactive oxygen species production', 'lrrk2 (human)', 'movement disorder', 'cerebellar ataxia', 'spag9 (human)', 'neurodevelopmental disorder', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'autism', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	6	0.9750061924	0.6884013068	0.0062169445	0.2103022993	0.00087124	0.0015382506	{'intramuscular', 'oral', 'respiratory (inhalation)', 'intravenous'}	1	TRUE	TRUE
amitriptyline	['movement disorder', 'cerebellar ataxia', 'intellectual disability', 'spasticity', 'ntrk2 (human)', 'neuroinflammation', 'autism', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'axonal neuropathy']	6	0.9969217344	0.986974623	0.6932192991	0.1981365699	0.2581484595	0.0760936865	{'oral', 'topical'}	1	TRUE	TRUE
azelaic acid	['mapk8 (human)', 'lrrk2 (human)']	6	0.7078978633	0.7754936393	0.0081235747	0.1871451921	0.0003309446	0.0054149154	{'cutaneous', 'oral', 'topical'}	1	TRUE	TRUE
betamethasone	['arf6 (human)', 'cerebellar ataxia', 'cdk5 (human)', 'inborn disorder of neurotransmitter metabolism and transport', 'axonal neuropathy']	6	0.9932225293	0.7130232304	0.1704179436	0.1705295288	0.0528670516	0.0050397405	{'perineural', 'intramuscular', 'intrabursal', 'auricular (otic)', 'infiltration', 'epidural', 'topical', 'intravascular', 'oral', 'intravenous', 'rectal', 'intrathecal', 'intradermal', 'intra-articular', 'soft tissue', 'cutaneous', 'intraspinal', 'intralesional', 'ophthalmic'}	1	TRUE	TRUE
biotin	['lrrk2 (human)', 'movement disorder', 'cerebellar ataxia', 'intellectual disability', 'neuroinflammation', 'autism', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'axonal neuropathy']	6	0.9453523911	0.610813498	0.016921762	0.2349649545	0.0026427428	0.0006083571	{'cutaneous', 'oral', 'topical', 'intravenous'}	1	TRUE	TRUE
budesonide	['lrrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'cdk5 (human)']	6	0.9923607114	0.9707924453	0.2514899763	0.2823980732	0.235625809	0.0220436459	{'rectal', 'cutaneous', 'oral', 'respiratory (inhalation)', 'not applicable', 'nasal'}	1	TRUE	TRUE
buspirone	['movement disorder', 'cerebellar ataxia', 'intellectual disability', 'spasticity', 'neurodevelopmental disorder', 'inborn disorder of neurotransmitter metabolism and transport', 'autism', 'generalized dystonia', 'drd1 (human)', 'neurodegenerative disease', 'axonal neuropathy']	6	0.9926834405	0.9705618964	0.3264386712	0.178868901	0.1049201288	0.1426598241	{'oral', 'not applicable'}	1	TRUE	TRUE
calcium chloride	axonal neuropathy	6	0.9872220764	0.9443112755	0.0240266812	0.1077332311	0.0062605379	0.0078550527	{'irrigation', 'parenteral', 'buccal', 'intrathecal', 'intraventricular', 'intraperitoneal', 'intraocular', 'topical', 'hemodialysis', 'dental', 'oral', 'ophthalmic', 'intra-arterial', 'intravenous'}	1	TRUE	TRUE
clonidine	['movement disorder', 'spasticity', 'autism', 'generalized dystonia', 'axonal neuropathy', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'intellectual disability']	6	0.9942425168	0.9335289405	0.0255770787	0.2648746612	0.0038707304	0.0093848903	{'transdermal', 'oral', 'intravenous', 'epidural'}	1	TRUE	TRUE
